Fixed Data,New Date,Payload,Vehicle,Company,Site
"Sep 8, 1998 ",1998-09-08,IRIDIUM 10,Delta II,McDonnell Douglas Corporation,CA
"Sep 8, 1996 ",1996-09-08,GE-1 ,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Sep 7, 2014 ",2014-09-07,AsiaSat-6,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 6, 2008 ",2008-09-06,GeoEye 1,Delta II,Boeing Launch Services,CA
"Sep 4, 2022 ",04-Sep-22,Starlink Group 4-20 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 4, 1997 ","Sep 4, 1997 ",GE-3 ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Sep 3, 2020 ",,150m Hop ,Starship Hopper,Space Exploration Technologies Corporation,TX
"Sep 3, 2020 ",,Starlink v1.0-11 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 3, 1993 ",,UHF-2 ,Atlas I,General Dynamics,FL
"Sep 29, 2013 ",,Cassiope ,Falcon 9,Space Exploration Technologies Corporation,CA
"Sep 29, 2004 ",,(Flight 16P),SpaceShipOne,Scaled Composites,CA
"Sep 28, 2008 ",,Payload Mass Simulator,Falcon 1,Space Exploration Technologies Corporation,MH
"Sep 27, 1997 ",,IRIDIUM 4 ,Delta II,McDonnell Douglas Corporation,CA
"Sep 24, 2022 ",,Starlink Group 4-35 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 24, 2011 ",,Atlantic Bird 7,Zenit-3SL,"Energia Logistics, Ltd. (ELUS)",Pacific Ocean
"Sep 24, 2008 ",,Galaxy 19,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Sep 24, 1999 ",,IKONOS 2,Athena-2,Lockheed Martin Commercial Launch Services,CA
"Sep 23, 1999 ",,ECHOSTAR V,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Sep 23, 1998 ",,ORBCOMM III,Pegasus XL,Orbital ATK,VA
"Sep 21, 2014 ",,CRS-4 Dragon 6 Capsule,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 21, 2001 ",,ORBVIEW 4,Taurus,Orbital ATK,CA
"Sep 2, 2021 ",,FLTA001-DREAM ,Alpha,Firefly Aerospace,CA
"Sep 2, 1991 ",,ZEST-1 ,TalosCastor 1,Orbital ATK,HI
"Sep 18, 2022 ",,Starlink Group 4-34 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 18, 2013 ",,Orb-D1 Cygnus ,Antares,Orbital ATK,VA
"Sep 18, 2007 ",,WorldView 1,Delta II,Boeing Launch Services,CA
"Sep 18, 2002 ",,HISPASAT-1D,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Sep 16, 2021 ",,Inspiration4,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 15, 2022 ",,"F30 ""The Owl Spreads Its Wings"" ",Electron,Rocket Lab Global,NZ
"Sep 13, 2021 ",,Starlink v1.5 Group 2-1 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Sep 12, 2022 ",,NS-23 / P12 ,New Shepard System,Blue Origin,TX
"Sep 12, 1991 ",,ZEST-2 ,TalosCastor 1,Orbital ATK,HI
"Sep 11, 2020 ",,Test Launch 3.1 ,Astra Rocket 3,Astra,AK
"Sep 10, 2022 ",,Starlink Group 4-2 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 10, 2018 ",,Telstar 18V ,Falcon 9,Space Exploration Technologies Corporation,FL
"Sep 10, 1992 ",,CONSORT-5 ,Starfire 1,EER Systems Corporation,NM
"Oct 9, 2017 ",,Iridium-3,Falcon 9,Space Exploration Technologies Corporation,CA
"Oct 9, 2000 ",,HETE II,Pegasus,Orbital ATK,MH
"Oct 9, 1999 ",,DIRECTV 1R,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Oct 9, 1998 ",,HOTBIRD 5,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Oct 8, 2022 ",,Intelsat G-33/G-34 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 8, 2009 ",,WorldView-2,Delta II,Boeing Launch Services,CA
"Oct 7, 2022 ",,"F31 ""It Argos Up From Here"" ",Electron,Rocket Lab Global,NZ
"Oct 7, 2018 ",,SAOCOM-1A ,Falcon 9,Space Exploration Technologies Corporation,CA
"Oct 7, 2012 ",,Dragon Reentry Capsule,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 6, 2020 ",,Starlink v1.0-12 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 6, 2012 ",,Scientific ,STIG-B,Armadillo Aerospace,NM
"Oct 6, 1994 ",,INTELSAT-VII-703 ,Atlas IIAS,Martin Marrietta,FL
"Oct 5, 2022 ",,Starlink Group 4-29 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Oct 5, 2022 ",,Crew-5,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 5, 1997 ",,ECHOSTAR III ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Oct 5, 1989 ",,SET-1 ,SMLV,American Rocket,CA
"Oct 4, 2022 ",,SES 20-21 ,Atlas V,United Launch Alliance,FL
"Oct 4, 2004 ",,(Flight 17P),SpaceShipOne,Scaled Composites,CA
"Oct 31, 2017 ",,Skybox,Minotaur-C,Orbital Sciences Corp.,CA
"Oct 30, 2017 ",,KoreaSat-5A,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 30, 2006 ",,XM Radio 4,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Oct 30, 1990 ",,INMARSAT 2 FLT 1 ,Delta II,McDonnell Douglas Corporation,FL
"Oct 29, 2001 ",,HyShot 1,Terrier-Orion,Astrotech,AU
"Oct 28, 2020 ",,"Flight 15/Papa1 ""In Focus"" ",Electron,Rocket Lab Global,NZ
"Oct 28, 2014 ",,Orb-3 Cygnus ,Antares,Orbital ATK,VA
"Oct 27, 2022 ",,Starlink Group 4-31 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Oct 26, 2019 ",,M4 ,SARGE,Exos Aerospace,NM
"Oct 25, 2008 ",,COSMO SkyMed 3,Delta II,The Boeing Company,CA
"Oct 24, 2020 ",,Starlink v1.0-14 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 23, 1998 ",,SCD-2,Pegasus XL,Orbital ATK,FL
"Oct 23, 1995 ",,METEOR ,Conestoga,EER Systems Corporation,VA
"Oct 22, 1995 ",,EHF-F6 ,Atlas II,Lockheed Martin Commercial Launch Services,FL
"Oct 21, 2000 ",,THURAYA-1,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Oct 20, 2022 ",,Starlink Group 4-36 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 20, 1998 ",,GBS F9,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Oct 2, 2020 ",,NG-14 ,Antares,Northrop Grumman,VA
"Oct 2, 2015 ",,Morelos-3 Communications Satellite ,Atlas V,United Launch Alliance,FL
"Oct 18, 2020 ",,Starlink v1.0-13 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 18, 2001 ",,QUICKBIRD 2,Delta II,McDonnell Douglas Corporation,CA
"Oct 17, 2016 ",,OA-5 Cygnus,Antares,Orbital Sciences Corp.,VA
"Oct 16, 2019 ",,Palisade ,Electron,Rocket Lab Global,NZ
"Oct 15, 2022 ",,Eutelsat HOTBIRD-F1 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 13, 2021 ",,NS-18/M16,New Shepard System,Blue Origin,TX
"Oct 13, 2020 ",,NS13 P10 ,New Shepard System,Blue Origin,TX
"Oct 12, 1992 ",,KOPERNIKUS ,Delta II,McDonnell Douglas Corporation,FL
"Oct 11, 2017 ",,SES-11,Falcon 9,Space Exploration Technologies Corporation,FL
"Oct 1, 2022 ",,FLTA002 ,Alpha,Firefly Aerospace,CA
"Oct 1, 2003 ",,Galaxy 13,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Nov 9, 1997 ",,IRIDIUM 5 ,Delta II,McDonnell Douglas Corporation,CA
"Nov 8, 2005 ",,INMARSAT-4F2,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Nov 6, 2010 ",,COSMO-Skymed 4,Delta II,Boeing Launch Services,CA
"Nov 6, 1998 ",,IRIDIUM 11,Delta II,McDonnell Douglas Corporation,CA
"Nov 4, 2012 ",,Scientific ,STIG-B,Armadillo Aerospace,NM
"Nov 29, 2018 ",,N/A ,Astra Rocket 2,Astra,AK
"Nov 29, 1994 ",,ORION ,Atlas IIA,Martin Marrietta,FL
"Nov 24, 2020 ",,Starlink v1.0-15 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Nov 23, 2009 ",,Intelsat 14,Atlas V,Lockheed Martin Commercial Launch Services,FL
"Nov 23, 1999 ",,GBS F10,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Nov 22, 1998 ",,BONUM-1,Delta II,McDonnell Douglas Corporation,FL
"Nov 21, 1996 ",,HOT BIRD 2 ,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Nov 20, 2021 ",,LV0007 (mass simulator) ,Rocket 3.3,Astra,AK
"Nov 20, 2002 ",,EUTELSAT W5,Delta IV,Boeing Launch Services,FL
"Nov 2, 2019 ",,NG-12 Cygnus ,Antares,Northrop Grumman,VA
"Nov 19, 2020 ",,Flight 16 / Bonnie ,Electron,Rocket Lab Global,NZ
"Nov 19, 2013 ",,ORS-3 ,Minotaur,Orbital ATK,VA
"Nov 17, 2021 ",,"Flight 22 ""Love at First Insight"" ",Electron,Rocket Lab Global,NZ
"Nov 17, 2018 ",,NG-10 Cygnus ,Antares,Orbital Sciences Corp.,VA
"Nov 16, 1991 ",,CONSORT-4 ,Starfire 1,EER Systems Corporation,NM
"Nov 15, 2020 ",,Crew-1,Falcon 9,Space Exploration Technologies Corporation,FL
"Nov 15, 2018 ",,Es'Hail-2 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Nov 15, 1989 ",,CONSORT-2 ,Starfire 1,Space Services,NM
"Nov 13, 2021 ",,Starlink Group 4-1 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Nov 13, 2017 ",,OA-8 Cygnus ,Antares,Orbital Sciences Corp.,VA
"Nov 11, 2019 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Nov 11, 2016 ",,Worldview 4,Atlas V,Lockheed Martin Commercial Launch Services,CA
"Nov 10, 2021 ",,Crew-3,Falcon 9,Space Exploration Technologies Corporation,FL
"Nov 10, 2018 ",,It's Business Time ,Electron,Rocket Lab USA,NZ
"May 9, 2021 ",,Starlink v1.0-27 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 8, 2001 ",,XM-1,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"May 6, 2022 ",,Starlink Group 4-17 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 6, 2016 ",,JCSat-14,Falcon 9,Space Exploration Technologies Corporation,FL
"May 6, 2015 ",,No payload; Pad Abort Test,Dragon crew,Space Exploration Technologies Corporation,FL
"May 5, 2021 ",,Suborbital Flight 5 (SN15) ,Starship Prototype,Space Exploration Technologies Corporation,TX
"May 5, 2019 ",,STP-27RD ,Electron,Rocket Lab USA,NZ
"May 5, 1999 ",,ORION 3,Delta III,McDonnell Douglas Corporation,FL
"May 5, 1997 ",,IRIDIUM 1 ,Delta II,McDonnell Douglas Corporation,CA
"May 4, 2021 ",,Starlink v1.0-25 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 4, 2019 ",,Dragon capsule ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 4, 2004 ",,DTV 7S,Zenit,Sea Launch Limited Partnership,Pacific Ocean
"May 31, 1995 ",,EHF-F5 ,Atlas II,Martin Marrietta,FL
"May 29, 2018 ",,VP01-2,SpaceShipTwo,Virgin Galactic,CA
"May 29, 1991 ",,AURORA II ,Delta II,McDonnell Douglas Corporation,FL
"May 27, 2016 ",,Thaicom 8,Falcon 9,Space Exploration Technologies Corporation,FL
"May 26, 2021 ",,Starlink v1.0-28 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 26, 2014 ",,Eutelsat 3B,Zenit-3SL,"Energia Logistics, Ltd. (ELUS)",Pacific Ocean
"May 25, 2022 ",,Transporter-5 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 25, 2020 ",,Flight 1 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
"May 25, 2017 ",,Humanity Star,Electron,Rocket Lab USA,NZ
"May 24, 2006 ",,GOES N,Delta IV,McDonnell Douglas Corporation,FL
"May 24, 2000 ",,EUTELSAT W4,Atlas IIIA,Lockheed Martin Commercial Launch Services,FL
"May 24, 1996 ",,GALAXY IX ,Delta II,McDonnell Douglas Corporation,FL
"May 23, 2019 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 22, 2021 ",,VF02-02,SpaceShipTwo,Virgin Galactic,NM
"May 22, 2018 ",,Iridium GRACE FO ,Falcon 9,Space Exploration Technologies Corporation,CA
"May 22, 2012 ",,Dragon Reentry Capsule,Falcon 9,Space Exploration Technologies Corporation,FL
"May 21, 2018 ",,OA-9 Cygnus ,Antares,Orbital ATK,VA
"May 21, 2008 ",,Galaxy 18,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"May 20, 2004 ",,AMC-11,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"May 20, 1997 ",,THOR 2A ,Delta II,McDonnell Douglas Corporation,FL
"May 2, 2022 ",,"F26 ""There and Back Again"" ",Electron,Rocket Lab Global,NZ
"May 2, 2019 ",,NS4 P8 ,New Shepard System,Blue Origin,TX
"May 18, 2022 ",,Starlink Group 4-18 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 18, 1999 ",,TERRIERS,Pegasus XL,Orbital ATK,CA
"May 17, 2004 ",,Rocsat-2,Taurus,Orbital ATK,CA
"May 17, 1998 ",,IRIDIUM 9,Delta II,McDonnell Douglas Corporation,CA
"May 17, 1996 ",,MSTI III ,Std Pegasus,Orbital ATK,CA
"May 17, 1990 ",,CONSORT-3 ,Starfire 1,Space Services,NM
"May 15, 2021 ",,Starlink v1.0-26 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 15, 2021 ",,"F20 ""Running out of Toes"" ",Electron,Rocket Lab Global,NZ
"May 15, 2017 ",,Inmarsat-5 F-4,Falcon 9,Space Exploration Technologies Corporation,FL
"May 14, 2022 ",,Starlink Group 4-15 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 14, 1992 ",,PALAPA B-4 ,Delta II,McDonnell Douglas Corporation,FL
"May 13, 2022 ",,Starlink Group 4-13 ,Falcon 9,Space Exploration Technologies Corporation,CA
"May 13, 2004 ",,(Flight 14P),SpaceShipOne,Scaled Composites,CA
"May 13, 2003 ",,Hellas Sat 2,Atlas V,Lockheed Martin Commercial Launch Services,FL
"May 11, 2018 ",,BangabandhuSat-1 ,Falcon 9,Space Exploration Technologies Corporation,FL
"May 1, 2017 ",,NROL-76,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 9, 2022 ",,Starlink Group 4-10 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 8, 1997 ",,TEMPO DBS ,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Mar 8, 1991 ",,INMARSAT 2 FLT 2 ,Delta II,McDonnell Douglas Corporation,FL
"Mar 6, 2020 ",,CRS-20 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 6, 2018 ",,HispaSat 30W-6,Falcon 9,Space Exploration Technologies Corporation,FL
