name,abbr,gtfs_latitude,gtfs_longitude,address,city,county,state,zipcode,north_routes,south_routes
12th St. Oakland City Center,12TH,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612,"['ROUTE 2', 'ROUTE 3', 'ROUTE 8']","['ROUTE 1', 'ROUTE 4', 'ROUTE 7']"
16th St. Mission,16TH,37.765062,-122.419694,2000 Mission Street,San Francisco,sanfrancisco,CA,94110,"['ROUTE 2', 'ROUTE 6', 'ROUTE 8', 'ROUTE 12']","['ROUTE 1', 'ROUTE 5', 'ROUTE 7', 'ROUTE 11']"
19th St. Oakland,19TH,37.80835,-122.268602,1900 Broadway,Oakland,alameda,CA,94612,"['ROUTE 2', 'ROUTE 3', 'ROUTE 8']","['ROUTE 1', 'ROUTE 4', 'ROUTE 7']"
24th St. Mission,24TH,37.75247,-122.418143,2800 Mission Street,San Francisco,sanfrancisco,CA,94110,"['ROUTE 2', 'ROUTE 6', 'ROUTE 8', 'ROUTE 12']","['ROUTE 1', 'ROUTE 5', 'ROUTE 7', 'ROUTE 11']"
Antioch,ANTC,37.995388,-121.78042,1600 Slatten Ranch Road,Antioch,Contra Costa,CA,94509,,['ROUTE 1']
Ashby,ASHB,37.852803,-122.270062,3100 Adeline Street,Berkeley,alameda,CA,94703,"['ROUTE 3', 'ROUTE 8']","['ROUTE 4', 'ROUTE 7']"
Balboa Park,BALB,37.721585,-122.447506,401 Geneva Avenue,San Francisco,sanfrancisco,CA,94112,"['ROUTE 2', 'ROUTE 6', 'ROUTE 8', 'ROUTE 12']","['ROUTE 1', 'ROUTE 5', 'ROUTE 7', 'ROUTE 11']"
Bay Fair,BAYF,37.696924,-122.126514,15242 Hesperian Blvd.,San Leandro,alameda,CA,94578,"['ROUTE 3', 'ROUTE 5', 'ROUTE 11']","['ROUTE 4', 'ROUTE 6', 'ROUTE 12']"
Berryessa/North San Jose,BERY,37.368473,-121.874681,1620 Berryessa Road,San Jose,Santa Clara,CA,95133,"['ROUTE 3', 'ROUTE 5']",
Castro Valley,CAST,37.690746,-122.075602,3301 Norbridge Dr.,Castro Valley,alameda,CA,94546,['ROUTE 12'],['ROUTE 11']
Civic Center/UN Plaza,CIVC,37.779732,-122.414123,1150 Market Street,San Francisco,sanfrancisco,CA,94102,"['ROUTE 2', 'ROUTE 6', 'ROUTE 8', 'ROUTE 12']","['ROUTE 1', 'ROUTE 5', 'ROUTE 7', 'ROUTE 11']"
Coliseum,COLS,37.753661,-122.196869,7200 San Leandro St.,Oakland,alameda,CA,94621,"['ROUTE 3', 'ROUTE 5', 'ROUTE 11']","['ROUTE 4', 'ROUTE 6', 'ROUTE 12', 'ROUTE 20']"
Colma,COLM,37.684638,-122.466233,365 D Street,Colma,sanmateo,CA,94014,"['ROUTE 2', 'ROUTE 8']","['ROUTE 1', 'ROUTE 7']"
Concord,CONC,37.973737,-122.029095,1451 Oakland Avenue,Concord,contracosta,CA,94520,['ROUTE 2'],['ROUTE 1']
Daly City,DALY,37.706121,-122.469081,500 John Daly Blvd.,Daly City,sanmateo,CA,94014,"['ROUTE 2', 'ROUTE 6', 'ROUTE 8', 'ROUTE 12']","['ROUTE 1', 'ROUTE 5', 'ROUTE 7', 'ROUTE 11']"
Downtown Berkeley,DBRK,37.870104,-122.268133,2160 Shattuck Avenue,Berkeley,alameda,CA,94704,"['ROUTE 3', 'ROUTE 8']","['ROUTE 4', 'ROUTE 7']"
Dublin/Pleasanton,DUBL,37.701687,-121.899179,5801 Owens Dr.,Pleasanton,alameda,CA,94588,['ROUTE 12'],['ROUTE 11']
El Cerrito del Norte,DELN,37.925086,-122.316794,6400 Cutting Blvd.,El Cerrito,contracosta,CA,94530,"['ROUTE 3', 'ROUTE 8']","['ROUTE 4', 'ROUTE 7']"
El Cerrito Plaza,PLZA,37.902632,-122.298904,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530,"['ROUTE 3', 'ROUTE 8']","['ROUTE 4', 'ROUTE 7']"
Embarcadero,EMBR,37.792874,-122.39702,298 Market Street,San Francisco,sanfrancisco,CA,94111,"['ROUTE 2', 'ROUTE 6', 'ROUTE 8', 'ROUTE 12']","['ROUTE 1', 'ROUTE 5', 'ROUTE 7', 'ROUTE 11']"
Fremont,FRMT,37.557465,-121.976608,2000 BART Way,Fremont,alameda,CA,94536,"['ROUTE 3', 'ROUTE 5']","['ROUTE 4', 'ROUTE 6']"
