name,abbr,routeID,number,origin,destination,direction,hexcolor,color,num_stns,station
Coliseum to Oakland Airport,COLS-OAKL,ROUTE 20,20,COLS,OAKL,South,#D5CFA3,BEIGE,2,"['COLS', 'OAKL']"
Dublin/Pleasanton to Daly City,DUBL-DALY,ROUTE 11,11,DUBL,DALY,South,#AA5599,BLUE,18,"['DUBL', 'WDUB', 'CAST', 'BAYF', 'SANL', 'COLS', 'FTVL', 'LAKE', 'WOAK', 'EMBR', 'MONT', 'POWL', 'CIVC', '16TH', '24TH', 'GLEN', 'BALB', 'DALY']"
Daly City to Dublin/Pleasanton,DALY-DUBL,ROUTE 12,12,DALY,DUBL,North,#0099CC,BLUE,18,"['DALY', 'BALB', 'GLEN', '24TH', '16TH', 'CIVC', 'POWL', 'MONT', 'EMBR', 'WOAK', 'LAKE', 'FTVL', 'COLS', 'SANL', 'BAYF', 'CAST', 'WDUB', 'DUBL']"
Berryessa/North San Jose to Daly City,BERY-DALY,ROUTE 5,5,BERY,DALY,South,#AA5599,GREEN,22,"['BERY', 'MLPT', 'WARM', 'FRMT', 'UCTY', 'SHAY', 'HAYW', 'BAYF', 'SANL', 'COLS', 'FTVL', 'LAKE', 'WOAK', 'EMBR', 'MONT', 'POWL', 'CIVC', '16TH', '24TH', 'GLEN', 'BALB', 'DALY']"
Daly City to Berryessa/North San Jose,DALY-BERY,ROUTE 6,6,DALY,BERY,North,#FF9933,GREEN,22,"['DALY', 'BALB', 'GLEN', '24TH', '16TH', 'CIVC', 'POWL', 'MONT', 'EMBR', 'WOAK', 'LAKE', 'FTVL', 'COLS', 'SANL', 'BAYF', 'HAYW', 'SHAY', 'UCTY', 'FRMT', 'WARM', 'MLPT', 'BERY']"
Berryessa/North San Jose to Richmond,BERY-RICH,ROUTE 3,3,BERY,RICH,North,#FF0000,ORANGE,21,"['BERY', 'MLPT', 'WARM', 'FRMT', 'UCTY', 'SHAY', 'HAYW', 'BAYF', 'SANL', 'COLS', 'FTVL', 'LAKE', '12TH', '19TH', 'MCAR', 'ASHB', 'DBRK', 'NBRK', 'PLZA', 'DELN', 'RICH']"
Richmond to Berryessa/North San Jose,RICH-BERY,ROUTE 4,4,RICH,BERY,South,#FF9933,ORANGE,21,"['RICH', 'DELN', 'PLZA', 'NBRK', 'DBRK', 'ASHB', 'MCAR', '19TH', '12TH', 'LAKE', 'FTVL', 'COLS', 'SANL', 'BAYF', 'HAYW', 'SHAY', 'UCTY', 'FRMT', 'WARM', 'MLPT', 'BERY']"
Millbrae/Daly City to Richmond,SFIA-RICH,ROUTE 8,8,SFIA,RICH,North,#FF0000,RED,24,"['SFIA', 'MLBR', 'SBRN', 'SSAN', 'COLM', 'DALY', 'BALB', 'GLEN', '24TH', '16TH', 'CIVC', 'POWL', 'MONT', 'EMBR', 'WOAK', '12TH', '19TH', 'MCAR', 'ASHB', 'DBRK', 'NBRK', 'PLZA', 'DELN', 'RICH']"
Richmond to Daly City/Millbrae,RICH-SFIA,ROUTE 7,7,RICH,SFIA,South,#FFFF33,RED,24,"['RICH', 'DELN', 'PLZA', 'NBRK', 'DBRK', 'ASHB', 'MCAR', '19TH', '12TH', 'WOAK', 'EMBR', 'MONT', 'POWL', 'CIVC', '16TH', '24TH', 'GLEN', 'BALB', 'DALY', 'COLM', 'SSAN', 'SBRN', 'MLBR', 'SFIA']"
Antioch to SFIA/Millbrae,ANTC-MLBR,ROUTE 1,1,ANTC,MLBR,South,#FFFF33,YELLOW,28,"['ANTC', 'PCTR', 'PITT', 'NCON', 'CONC', 'PHIL', 'WCRK', 'LAFY', 'ORIN', 'ROCK', 'MCAR', '19TH', '12TH', 'WOAK', 'EMBR', 'MONT', 'POWL', 'CIVC', '16TH', '24TH', 'GLEN', 'BALB', 'DALY', 'COLM', 'SSAN', 'SBRN', 'SFIA', 'MLBR']"
Millbrae/SFIA to Antioch,MLBR-ANTC,ROUTE 2,2,MLBR,ANTC,North,#FFFF33,YELLOW,28,"['MLBR', 'SFIA', 'SBRN', 'SSAN', 'COLM', 'DALY', 'BALB', 'GLEN', '24TH', '16TH', 'CIVC', 'POWL', 'MONT', 'EMBR', 'WOAK', '12TH', '19TH', 'MCAR', 'ROCK', 'ORIN', 'LAFY', 'WCRK', 'PHIL', 'CONC', 'NCON', 'PITT', 'PCTR', 'ANTC']"
